"Scott, Adam",1,274,"377"
"Kaufman, Smylie",1,276,"378"
"Day, Jason",1,273,"379"
"Mickelson, Phil",1,269,"380"
"McIlroy, Rory",1,268,"381"
"Johnson, Dustin",1,274,"382"
"Matsuyama, Hideki",1,274,"382"
"Rose, Justin",1,274,"382"
"Watson, Bubba",1,274,"382"
"Day, Jason",1,266,"383"
"Casey, Paul",1,268,"384"
"Johnson, Dustin",1,273,"385"
"Scott, Adam",1,273,"385"
"Oosthuizen, Louis",1,275,"386"
"Watson, Bubba",1,271,"387"
"Fowler, Rickie",1,275,"388"
"Kaufman, Smylie",1,272,"389"
"Fowler, Rickie",1,274,"390"
"Willett, Danny",1,274,"391"
"Snedeker, Brandt",1,275,"392"
"Day, Jason",1,272,"393"
"Reed, Patrick",1,274,"394"
"Kirk, Chris",1,272,"395"
"Dufner, Jason",1,277,"396"
"Grace, Branden",1,277,"396"
"Mickelson, Phil",1,277,"396"
"Spieth, Jordan",1,275,"397"
"Spieth, Jordan",1,272,"398"
"Oosthuizen, Louis",1,275,"399"
"Garcia, Sergio",1,274,"400"
"An, Byeong Hun",1,275,"401"
"Holmes, J.B.",1,277,"402"
"Lowry, Shane",1,277,"402"
"Spieth, Jordan",1,277,"402"
"Stenson, Henrik",1,277,"403"
"Scott, Adam",1,274,"404"
"McIlroy, Rory",1,272,"405"
"Mickelson, Phil",1,275,"406"
"McIlroy, Rory",1,270,"407"
"Fowler, Rickie",1,272,"408"
"Snedeker, Brandt",1,273,"409"
"Casey, Paul",1,277,"410"
"Spieth, Jordan",1,272,"411"
"McDowell, Graeme",1,277,"412"
"Koepka, Brooks",1,274,"413"
"Kirk, Chris",1,273,"414"
"Koepka, Brooks",1,271,"415"
"McIlroy, Rory",1,270,"416"
"Spieth, Jordan",1,270,"416"
"Lowry, Shane",1,273,"417"
"Day, Jason",1,273,"418"
"Rose, Justin",1,273,"418"
"Wiesberger, Bernd",1,272,"419"
"Day, Jason",1,272,"420"
"Rose, Justin",1,267,"421"
"Day, Jason",1,272,"422"
"McIlroy, Rory",1,272,"422"
"Grace, Branden",1,273,"423"
