"Stenson, Henrik",1,276,"503",FALSE
"Watson, Bubba",1,280,"504",FALSE
"Scott, Adam",1,280,"505",FALSE
"Schwartzel, Charl",1,278,"506",FALSE
"Schwartzel, Charl",1,273,"507",FALSE
"Walker, Jimmy",1,276,"508",FALSE
"Moore, Ryan",1,283,"509",FALSE
"Glover, Lucas",1,280,"510",FALSE
"Spieth, Jordan",1,276,"511",FALSE
"Johnson, Zach",1,279,"512",TRUE
"Watson, Bubba",1,282,"513",FALSE
"Donaldson, Jamie",1,277,"514",FALSE
"McIlroy, Rory",1,282,"515",FALSE
"Garcia, Sergio",1,281,"516",FALSE
"Walker, Jimmy",1,283,"517",TRUE
"Cabrera, Angel",1,282,"518",FALSE
"Walker, Jimmy",1,279,"519",FALSE
"Watson, Bubba",1,280,"520",FALSE
"Streelman, Kevin",1,280,"521",FALSE
"Rose, Justin",1,279,"522",TRUE
"Scott, Adam",1,277,"523",FALSE
"Moore, Ryan",1,277,"524",FALSE
"Scott, Adam",1,277,"525",FALSE
"Leishman, Marc",1,283,"526",TRUE
"Duke, Ken",1,278,"527",FALSE
"McIlroy, Rory",1,280,"528",FALSE
"Rose, Justin",1,281,"529",FALSE
"Haas, Bill",1,281,"530",FALSE
"Westwood, Lee",1,275,"531",FALSE
"Scott, Adam",1,276,"532",FALSE
"Johnson, Dustin",1,276,"533",FALSE
"Scott, Adam",1,282,"534",FALSE
"Donald, Luke",1,281,"535",FALSE
"Rose, Justin",1,275,"536",FALSE
"Matsuyama, Hideki",1,279,"537",FALSE
"Stricker, Steve",1,281,"538",FALSE
"Day, Jason",1,277,"539",FALSE
"Cabrera, Angel",1,279,"540",FALSE
"Weekley, Boo",1,283,"541",TRUE
"Matsuyama, Hideki",1,282,"542",FALSE
"Rose, Justin",1,282,"543",FALSE
"Donald, Luke",1,278,"544",FALSE
"Watson, Bubba",1,280,"545",FALSE
"English, Harris",1,284,"546",TRUE
"Westwood, Lee",1,281,"547",FALSE
"Stadler, Kevin",1,281,"548",FALSE
"Garcia, Sergio",1,277,"549",FALSE
"Dubuisson, Victor",1,280,"550",FALSE
"Streelman, Kevin",1,282,"551",FALSE
"Watson, Bubba",1,278,"552",FALSE
"Scott, Adam",1,278,"553",FALSE
"Oosthuizen, Louis",1,279,"554",FALSE
"Mickelson, Phil",1,283,"555",TRUE
"Walker, Jimmy",1,280,"556",FALSE
"Dufner, Jason",1,281,"557",TRUE
"Every, Matt",1,280,"558",FALSE
"DeLaet, Graham",1,281,"559",FALSE
"Kaymer, Martin",1,278,"560",TRUE
"McIlroy, Rory",1,276,"561",FALSE
"Walker, Jimmy",1,282,"562",TRUE
"Watson, Bubba",1,279,"563",FALSE
"Clark, Tim",1,282,"564",FALSE
"Johnson, Zach",1,275,"565",FALSE
"Westwood, Lee",1,277,"566",FALSE
"Kuchar, Matt",1,280,"567",FALSE
"Mickelson, Phil",1,279,"568",FALSE
"Scott, Adam",1,275,"569",FALSE
"Watson, Bubba",1,280,"570",FALSE
"Rose, Justin",1,281,"571",FALSE
"McIlroy, Rory",1,276,"572",FALSE
"Day, Jason",1,282,"573",FALSE
"Mickelson, Phil",1,279,"574",FALSE
"Walker, Jimmy",1,279,"575",FALSE
"McIlroy, Rory",1,282,"576",TRUE
"Scott, Adam",1,277,"577",FALSE
"Schwartzel, Charl",1,278,"578",FALSE
"Haas, Bill",1,284,"579",TRUE
"Schwartzel, Charl",1,280,"580",TRUE
"Watney, Nick",1,282,"581",FALSE
"Day, Jason",1,282,"582",FALSE
"Matsuyama, Hideki",1,278,"583",FALSE
"Spieth, Jordan",1,275,"584",FALSE
"Couples, Fred",1,278,"585",TRUE
"Jimenez, Miguel Angel",1,281,"586",FALSE
"Jimenez, Miguel Angel",1,281,"587",TRUE
"Spieth, Jordan",1,279,"588",FALSE
"Johnson, Zach",1,281,"589",FALSE
"Matsuyama, Hideki",1,273,"590",FALSE
