"","name","rank","friday","sunday","simulationID"
"10093","Els, Ernie",72,151,NA,"5004"
"10813","English, Harris",46,145,293,"5004"
"11533","Fitzpatrick, Matthew",28,137,287,"5004"
"12253","Fowler, Rickie",39,145,291,"5004"
"12973","Garcia, Sergio",3,140,278,"5004"
"13693","Gomez, Fabian",18,139,284,"5004"
"14413","Grace, Branden",28,144,287,"5004"
"15133","Grillo, Emiliano",3,138,278,"5004"
"15853","Haas, Bill",15,142,283,"5004"
"16573","Herman, Jim",73,152,NA,"5004"
"17293","Hoffman, Charley",15,144,283,"5004"
"18013","Holmes, J.B.",20,147,285,"5004"
"18733","Horschel, Billy",66,150,NA,"5004"
"19453","Immelman, Trevor",49,147,295,"5004"
"20173","Jaidee, Thongchai",42,147,292,"5004"
"20893","Johnson, Dustin",8,138,281,"5004"
"21613","Johnson, Zach",2,139,276,"5004"
"22333","Kaufman, Smylie",46,147,293,"5004"
"23053","Kaymer, Martin",42,146,292,"5004"
"23773","Kirk, Chris",77,153,NA,"5004"
"24493","Kisner, Kevin",46,146,293,"5004"
"25213","Kjeldsen, Soren",28,137,287,"5004"
"25933","Knox, Russell",8,140,281,"5004"
"26653","Koepka, Brooks",53,147,299,"5004"
"27373","Kuchar, Matt",10,142,282,"5004"
"28093","Lahiri, Anirban",73,152,NA,"5004"
"28813","Langer, Bernhard",60,149,NA,"5004"
"29533","Lee, Danny",60,149,NA,"5004"
"30253","Leishman, Marc",54,148,NA,"5004"
"30973","Lingmerth, David",73,152,NA,"5004"
"31693","Love III, Davis",33,144,288,"5004"
"32413","Lowry, Shane",10,140,282,"5004"
"33133","Mahan, Hunter",39,144,291,"5004"
"33853","Matsuyama, Hideki",22,143,286,"5004"
"34573","McDowell, Graeme",22,141,286,"5004"
"35293","McIlroy, Rory",1,134,272,"5004"
"36013","Merritt, Troy",66,150,NA,"5004"
"36733","Mickelson, Phil",22,145,286,"5004"
"37453","Moore, Ryan",33,140,288,"5004"
"38173","Na, Kevin",54,148,NA,"5004"
"38893","Oosthuizen, Louis",10,142,282,"5004"
"39613","Piercy, Scott",22,139,286,"5004"
"40333","Poulter, Ian",38,144,290,"5004"
"41053","Reed, Patrick",5,137,279,"5004"
"41773","Rose, Justin",10,144,282,"5004"
"42493","Schwartzel, Charl",18,140,284,"5004"
"43213","Scott, Adam",54,148,NA,"5004"
"43933","Simpson, Webb",54,148,NA,"5004"
"44653","Singh, Vijay",51,147,298,"5004"
"45373","Smith, Cameron",60,149,NA,"5004"
"46093","Snedeker, Brandt",10,143,282,"5004"
"46813","Spieth, Jordan",15,145,283,"5004"
"47533","Stenson, Henrik",6,146,280,"5004"
"48253","Streb, Robert",28,143,287,"5004"
"48973","Streelman, Kevin",66,150,NA,"5004"
"49693","Sullivan, Andy",77,153,NA,"5004"
"50413","Taylor, Vaughn",42,145,292,"5004"
"51133","Thomas, Justin",28,145,287,"5004"
"51853","Walker, Jimmy",66,150,NA,"5004"
"52573","Watson, Bubba",54,148,NA,"5004"
"53293","Weir, Mike",50,146,297,"5004"
"54013","Westwood, Lee",54,148,NA,"5004"
"54733","Wiesberger, Bernd",60,149,NA,"5004"
"55453","Willett, Danny",20,145,285,"5004"
"56173","Wood, Chris",42,147,292,"5004"
"14","An, Byeong Hun",8,141,282,"5005"
"734","Aphibarnrat, Kiradech",75,153,NA,"5005"
"1454","Berger, Daniel",21,142,287,"5005"
"2174","Bowditch, Steven",71,151,NA,"5005"
"2894","Bradley, Keegan",10,141,283,"5005"
"3614","Cabrera Bello, Rafa",3,143,276,"5005"
"4334","Cabrera, Angel",72,152,NA,"5005"
"5054","Casey, Paul",30,143,289,"5005"
"5774","Clarke, Darren",72,152,NA,"5005"
"6494","Day, Jason",2,140,274,"5005"
"7214","DeChambeau, Bryson",6,142,279,"5005"
"7934","Donaldson, Jamie",21,144,287,"5005"
"8654","Dubuisson, Victor",33,145,290,"5005"
"9374","Dufner, Jason",45,145,292,"5005"
"10094","Els, Ernie",50,145,294,"5005"
"10814","English, Harris",55,147,NA,"5005"
"11534","Fitzpatrick, Matthew",70,150,NA,"5005"
"12254","Fowler, Rickie",4,142,278,"5005"
"12974","Garcia, Sergio",41,145,291,"5005"
"13694","Gomez, Fabian",53,146,NA,"5005"
"14414","Grace, Branden",45,145,292,"5005"
"15134","Grillo, Emiliano",25,144,288,"5005"
"15854","Haas, Bill",25,144,288,"5005"
"16574","Herman, Jim",4,136,278,"5005"
"17294","Hoffman, Charley",55,147,NA,"5005"
"18014","Holmes, J.B.",17,141,286,"5005"
"18734","Horschel, Billy",17,139,286,"5005"
"19454","Immelman, Trevor",65,149,NA,"5005"
"20174","Jaidee, Thongchai",53,146,NA,"5005"
"20894","Johnson, Dustin",7,143,281,"5005"
"21614","Johnson, Zach",25,141,288,"5005"
"22334","Kaufman, Smylie",10,140,283,"5005"
"23054","Kaymer, Martin",72,152,NA,"5005"
"23774","Kirk, Chris",25,145,288,"5005"
"24494","Kisner, Kevin",33,142,290,"5005"
"25214","Kjeldsen, Soren",55,147,NA,"5005"
"25934","Knox, Russell",41,144,291,"5005"
"26654","Koepka, Brooks",10,142,283,"5005"
"27374","Kuchar, Matt",17,143,286,"5005"
"28094","Lahiri, Anirban",48,142,293,"5005"
"28814","Langer, Bernhard",50,145,294,"5005"
"29534","Lee, Danny",25,143,288,"5005"
"30254","Leishman, Marc",55,147,NA,"5005"
"30974","Lingmerth, David",8,145,282,"5005"
"31694","Love III, Davis",55,147,NA,"5005"
"32414","Lowry, Shane",33,143,290,"5005"
"33134","Mahan, Hunter",17,144,286,"5005"
"33854","Matsuyama, Hideki",21,144,287,"5005"
"34574","McDowell, Graeme",41,145,291,"5005"
"35294","McIlroy, Rory",15,139,284,"5005"
"36014","Merritt, Troy",79,158,NA,"5005"
"36734","Mickelson, Phil",48,143,293,"5005"
"37454","Moore, Ryan",60,148,NA,"5005"
"38174","Na, Kevin",60,148,NA,"5005"
"38894","Oosthuizen, Louis",33,141,290,"5005"
"39614","Piercy, Scott",33,143,290,"5005"
"40334","Poulter, Ian",75,153,NA,"5005"
"41054","Reed, Patrick",60,148,NA,"5005"
"41774","Rose, Justin",50,145,294,"5005"
"42494","Schwartzel, Charl",1,140,273,"5005"
"43214","Scott, Adam",65,149,NA,"5005"
"43934","Simpson, Webb",45,145,292,"5005"
"44654","Singh, Vijay",60,148,NA,"5005"
"45374","Smith, Cameron",75,153,NA,"5005"
"46094","Snedeker, Brandt",10,142,283,"5005"
"46814","Spieth, Jordan",30,142,289,"5005"
"47534","Stenson, Henrik",33,140,290,"5005"
"48254","Streb, Robert",15,142,284,"5005"
"48974","Streelman, Kevin",65,149,NA,"5005"
"49694","Sullivan, Andy",60,148,NA,"5005"
"50414","Taylor, Vaughn",65,149,NA,"5005"
"51134","Thomas, Justin",30,144,289,"5005"
"51854","Walker, Jimmy",65,149,NA,"5005"
"52574","Watson, Bubba",33,142,290,"5005"
"53294","Weir, Mike",78,156,NA,"5005"
"54014","Westwood, Lee",41,145,291,"5005"
"54734","Wiesberger, Bernd",33,144,290,"5005"
"55454","Willett, Danny",10,143,283,"5005"
"56174","Wood, Chris",21,135,287,"5005"
"15","An, Byeong Hun",70,150,NA,"5006"
"735","Aphibarnrat, Kiradech",63,148,NA,"5006"
"1455","Berger, Daniel",43,141,290,"5006"
"2175","Bowditch, Steven",78,153,NA,"5006"
"2895","Bradley, Keegan",36,142,288,"5006"
"3615","Cabrera Bello, Rafa",50,145,292,"5006"
"4335","Cabrera, Angel",47,140,291,"5006"
"5055","Casey, Paul",26,145,286,"5006"
"5775","Clarke, Darren",73,152,NA,"5006"
"6495","Day, Jason",2,138,276,"5006"
"7215","DeChambeau, Bryson",70,150,NA,"5006"
"7935","Donaldson, Jamie",36,144,288,"5006"
"8655","Dubuisson, Victor",26,143,286,"5006"
"9375","Dufner, Jason",26,140,286,"5006"
"10095","Els, Ernie",16,141,283,"5006"
"10815","English, Harris",36,141,288,"5006"
"11535","Fitzpatrick, Matthew",54,146,295,"5006"
"12255","Fowler, Rickie",8,138,279,"5006"
"12975","Garcia, Sergio",15,133,282,"5006"
"13695","Gomez, Fabian",67,149,NA,"5006"
"14415","Grace, Branden",63,148,NA,"5006"
"15135","Grillo, Emiliano",5,144,278,"5006"
"15855","Haas, Bill",67,149,NA,"5006"
"16575","Herman, Jim",73,152,NA,"5006"
"17295","Hoffman, Charley",33,142,287,"5006"
"18015","Holmes, J.B.",40,145,289,"5006"
"18735","Horschel, Billy",26,144,286,"5006"
"19455","Immelman, Trevor",57,147,NA,"5006"
