name,year,hole,yardage,round,par,score,rtp_score,sg_total,no_masters,rtp_score_grouped,time,no_masters_category,Level,Mu,Mu (no blups),P
"An, Byeong Hun",2016,9,460,2,4,4,0,0.212,2,.,12,1,0,0.86451,0.86171,0.86451
"An, Byeong Hun",2016,9,460,2,4,4,0,0.212,2,.,12,1,-1,0.99644,0.99635,0.99644
"An, Byeong Hun",2016,10,495,2,4,4,0,0.212,2,.,12,1,3,0.00355,0.00347,0.00355
"An, Byeong Hun",2016,10,495,2,4,4,0,0.212,2,.,12,1,2,0.02809,0.02745,0.02809
"An, Byeong Hun",2016,10,495,2,4,4,0,0.212,2,.,12,1,1,0.2541,0.24965,0.2541
"An, Byeong Hun",2016,10,495,2,4,4,0,0.212,2,.,12,1,0,0.8906,0.88827,0.8906
"An, Byeong Hun",2016,10,495,2,4,4,0,0.212,2,.,12,1,-1,0.99721,0.99714,0.99721
"An, Byeong Hun",2016,11,505,2,4,5,1,0.212,2,.,12,1,3,0.00706,0.00689,0.00706
"An, Byeong Hun",2016,11,505,2,4,5,1,0.212,2,.,12,1,2,0.05444,0.05324,0.05444
"An, Byeong Hun",2016,11,505,2,4,5,1,0.212,2,.,12,1,1,0.40429,0.39862,0.40429
"An, Byeong Hun",2016,11,505,2,4,5,1,0.212,2,.,12,1,0,0.94192,0.94061,0.94192
"An, Byeong Hun",2016,11,505,2,4,5,1,0.212,2,.,12,1,-1,0.9986,0.99856,0.9986
"An, Byeong Hun",2016,12,155,2,3,3,0,0.212,2,.,12,1,3,0.00299,0.00292,0.00299
"An, Byeong Hun",2016,12,155,2,3,3,0,0.212,2,.,12,1,2,0.02369,0.02315,0.02369
"An, Byeong Hun",2016,12,155,2,3,3,0,0.212,2,.,12,1,1,0.2224,0.21834,0.2224
"An, Byeong Hun",2016,12,155,2,3,3,0,0.212,2,.,12,1,0,0.87235,0.8697,0.87235
"An, Byeong Hun",2016,12,155,2,3,3,0,0.212,2,.,12,1,-1,0.99667,0.9966,0.99667
"An, Byeong Hun",2016,13,510,2,5,4,-1,0.212,2,.,12,1,3,0.00051,0.0005,0.00051
"An, Byeong Hun",2016,13,510,2,5,4,-1,0.212,2,.,12,1,2,0.00411,0.00401,0.00411
"An, Byeong Hun",2016,13,510,2,5,4,-1,0.212,2,.,12,1,1,0.04638,0.04534,0.04638
"An, Byeong Hun",2016,13,510,2,5,4,-1,0.212,2,.,12,1,0,0.53749,0.53161,0.53749
"An, Byeong Hun",2016,13,510,2,5,4,-1,0.212,2,.,12,1,-1,0.98076,0.9803,0.98076
"An, Byeong Hun",2016,14,440,2,4,4,0,0.212,2,.,12,1,3,0.00321,0.00313,0.00321
"An, Byeong Hun",2016,14,440,2,4,4,0,0.212,2,.,12,1,2,0.02542,0.02484,0.02542
"An, Byeong Hun",2016,14,440,2,4,4,0,0.212,2,.,12,1,1,0.23515,0.23092,0.23515
"An, Byeong Hun",2016,14,440,2,4,4,0,0.212,2,.,12,1,0,0.88019,0.87767,0.88019
"An, Byeong Hun",2016,14,440,2,4,4,0,0.212,2,.,12,1,-1,0.99691,0.99683,0.99691
"An, Byeong Hun",2016,15,530,2,5,4,-1,0.212,2,.,12,1,3,0.00064,0.00063,0.00064
"An, Byeong Hun",2016,15,530,2,5,4,-1,0.212,2,.,12,1,2,0.00519,0.00507,0.00519
"An, Byeong Hun",2016,15,530,2,5,4,-1,0.212,2,.,12,1,1,0.05794,0.05667,0.05794
"An, Byeong Hun",2016,15,530,2,5,4,-1,0.212,2,.,12,1,0,0.59509,0.58939,0.59509
"An, Byeong Hun",2016,15,530,2,5,4,-1,0.212,2,.,12,1,-1,0.98472,0.98436,0.98472
"An, Byeong Hun",2016,16,170,2,3,3,0,0.212,2,.,12,1,3,0.00251,0.00245,0.00251
"An, Byeong Hun",2016,16,170,2,3,3,0,0.212,2,.,12,1,2,0.01999,0.01953,0.01999
"An, Byeong Hun",2016,16,170,2,3,3,0,0.212,2,.,12,1,1,0.1938,0.19014,0.1938
"An, Byeong Hun",2016,16,170,2,3,3,0,0.212,2,.,12,1,0,0.85172,0.84872,0.85172
"An, Byeong Hun",2016,16,170,2,3,3,0,0.212,2,.,12,1,-1,0.99605,0.99595,0.99605
"An, Byeong Hun",2016,17,440,2,4,4,0,0.212,2,.,12,1,3,0.00165,0.00161,0.00165
"An, Byeong Hun",2016,17,440,2,4,4,0,0.212,2,.,12,1,2,0.01323,0.01293,0.01323
"An, Byeong Hun",2016,17,440,2,4,4,0,0.212,2,.,12,1,1,0.13649,0.13373,0.13649
"An, Byeong Hun",2016,17,440,2,4,4,0,0.212,2,.,12,1,0,0.79067,0.78673,0.79067
"An, Byeong Hun",2016,17,440,2,4,4,0,0.212,2,.,12,1,-1,0.994,0.99386,0.994
"An, Byeong Hun",2016,18,465,2,4,5,1,0.212,2,.,12,1,3,0.00175,0.00171,0.00175
"An, Byeong Hun",2016,18,465,2,4,5,1,0.212,2,.,12,1,2,0.01397,0.01365,0.01397
"An, Byeong Hun",2016,18,465,2,4,5,1,0.212,2,.,12,1,1,0.14314,0.14027,0.14314
"An, Byeong Hun",2016,18,465,2,4,5,1,0.212,2,.,12,1,0,0.79967,0.79586,0.79967
"An, Byeong Hun",2016,18,465,2,4,5,1,0.212,2,.,12,1,-1,0.99432,0.99418,0.99432
"An, Byeong Hun",2016,1,445,3,4,.,.,0.212,2,.,12,1,3,0.00557,0.00545,0.00557
"An, Byeong Hun",2016,1,445,3,4,.,.,0.212,2,.,12,1,2,0.04344,0.04247,0.04344
"An, Byeong Hun",2016,1,445,3,4,.,.,0.212,2,.,12,1,1,0.34866,0.34332,0.34866
"An, Byeong Hun",2016,1,445,3,4,.,.,0.212,2,.,12,1,0,0.92749,0.92589,0.92749
"An, Byeong Hun",2016,1,445,3,4,.,.,0.212,2,.,12,1,-1,0.99822,0.99818,0.99822
"An, Byeong Hun",2016,2,575,3,5,.,.,0.212,2,.,12,1,3,0.00071,0.00069,0.00071
"An, Byeong Hun",2016,2,575,3,5,.,.,0.212,2,.,12,1,2,0.00572,0.00558,0.00572
"An, Byeong Hun",2016,2,575,3,5,.,.,0.212,2,.,12,1,1,0.06346,0.06207,0.06346
"An, Byeong Hun",2016,2,575,3,5,.,.,0.212,2,.,12,1,0,0.61818,0.61259,0.61818
"An, Byeong Hun",2016,2,575,3,5,.,.,0.212,2,.,12,1,-1,0.98611,0.98578,0.98611
"An, Byeong Hun",2016,3,350,3,4,.,.,0.212,2,.,12,1,3,0.00079,0.00077,0.00079
"An, Byeong Hun",2016,3,350,3,4,.,.,0.212,2,.,12,1,2,0.00637,0.00622,0.00637
"An, Byeong Hun",2016,3,350,3,4,.,.,0.212,2,.,12,1,1,0.07026,0.06874,0.07026
"An, Byeong Hun",2016,3,350,3,4,.,.,0.212,2,.,12,1,0,0.64361,0.63817,0.64361
"An, Byeong Hun",2016,3,350,3,4,.,.,0.212,2,.,12,1,-1,0.98753,0.98724,0.98753
"An, Byeong Hun",2016,4,240,3,3,.,.,0.212,2,.,12,1,3,0.0066,0.00645,0.0066
"An, Byeong Hun",2016,4,240,3,3,.,.,0.212,2,.,12,1,2,0.05107,0.04994,0.05107
"An, Byeong Hun",2016,4,240,3,3,.,.,0.212,2,.,12,1,1,0.38815,0.38256,0.38815
"An, Byeong Hun",2016,4,240,3,3,.,.,0.212,2,.,12,1,0,0.93812,0.93673,0.93812
"An, Byeong Hun",2016,4,240,3,3,.,.,0.212,2,.,12,1,-1,0.9985,0.99846,0.9985
"An, Byeong Hun",2016,5,455,3,4,.,.,0.212,2,.,12,1,3,0.00521,0.00509,0.00521
"An, Byeong Hun",2016,5,455,3,4,.,.,0.212,2,.,12,1,2,0.04069,0.03977,0.04069
"An, Byeong Hun",2016,5,455,3,4,.,.,0.212,2,.,12,1,1,0.33331,0.32808,0.33331
"An, Byeong Hun",2016,5,455,3,4,.,.,0.212,2,.,12,1,0,0.92276,0.92106,0.92276
"An, Byeong Hun",2016,5,455,3,4,.,.,0.212,2,.,12,1,-1,0.99809,0.99805,0.99809
"An, Byeong Hun",2016,6,180,3,3,.,.,0.212,2,.,12,1,3,0.00196,0.00191,0.00196
"An, Byeong Hun",2016,6,180,3,3,.,.,0.212,2,.,12,1,2,0.01566,0.0153,0.01566
"An, Byeong Hun",2016,6,180,3,3,.,.,0.212,2,.,12,1,1,0.15789,0.15477,0.15789
"An, Byeong Hun",2016,6,180,3,3,.,.,0.212,2,.,12,1,0,0.81753,0.81398,0.81753
"An, Byeong Hun",2016,6,180,3,3,.,.,0.212,2,.,12,1,-1,0.99494,0.99482,0.99494
"An, Byeong Hun",2016,7,450,3,4,.,.,0.212,2,.,12,1,3,0.0049,0.00478,0.0049
"An, Byeong Hun",2016,7,450,3,4,.,.,0.212,2,.,12,1,2,0.03833,0.03747,0.03833
"An, Byeong Hun",2016,7,450,3,4,.,.,0.212,2,.,12,1,1,0.31963,0.31452,0.31963
"An, Byeong Hun",2016,7,450,3,4,.,.,0.212,2,.,12,1,0,0.91821,0.91641,0.91821
"An, Byeong Hun",2016,7,450,3,4,.,.,0.212,2,.,12,1,-1,0.99797,0.99792,0.99797
"An, Byeong Hun",2016,8,570,3,5,.,.,0.212,2,.,12,1,3,0.00074,0.00072,0.00074
"An, Byeong Hun",2016,8,570,3,5,.,.,0.212,2,.,12,1,2,0.00597,0.00583,0.00597
"An, Byeong Hun",2016,8,570,3,5,.,.,0.212,2,.,12,1,1,0.06611,0.06467,0.06611
"An, Byeong Hun",2016,8,570,3,5,.,.,0.212,2,.,12,1,0,0.62848,0.62295,0.62848
"An, Byeong Hun",2016,8,570,3,5,.,.,0.212,2,.,12,1,-1,0.9867,0.98639,0.9867
"An, Byeong Hun",2016,9,460,3,4,.,.,0.212,2,.,12,1,3,0.00265,0.00259,0.00265
