name,year,hole,yardage,round,par,score,rtp_score,fairway,green,bunker,sand_save,scrambling,putts,par3,par4,par5,sg_approach,sg_around,sg_tee,sg_putt,sg_total,total_score,no_holes,avg_round_score,rank,no_masters,OWGR_april,OWGR_feb,rtp_score_grouped,time,round_hole,round_hole_time,round_year,no_masters_category,performance_by_par,OWGR_change,Level,P(w/ player effects),P(w/o player effects)
"An, Byeong Hun",2016,12,155,1,3,3,0,0,0,1,1,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,12,156,2016,1,3.03,-0.1134,2,0.02396,0.02396
"An, Byeong Hun",2016,12,155,1,3,3,0,0,0,1,1,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,12,156,2016,1,3.03,-0.1134,1,0.21837,0.21837
"An, Byeong Hun",2016,12,155,1,3,3,0,0,0,1,1,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,12,156,2016,1,3.03,-0.1134,0,0.85914,0.85914
"An, Byeong Hun",2016,12,155,1,3,3,0,0,0,1,1,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,12,156,2016,1,3.03,-0.1134,-1,0.99608,0.99608
"An, Byeong Hun",2016,13,510,1,5,4,-1,0,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,13,169,2016,1,4.73,-0.1134,2,0.00558,0.00558
"An, Byeong Hun",2016,13,510,1,5,4,-1,0,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,13,169,2016,1,4.73,-0.1134,1,0.06007,0.06007
"An, Byeong Hun",2016,13,510,1,5,4,-1,0,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,13,169,2016,1,4.73,-0.1134,0,0.58249,0.58249
"An, Byeong Hun",2016,13,510,1,5,4,-1,0,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,13,169,2016,1,4.73,-0.1134,-1,0.98307,0.98307
"An, Byeong Hun",2016,14,440,1,4,5,1,1,0,0,0,0,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,14,182,2016,1,4.09,-0.1134,2,0.02234,0.02234
"An, Byeong Hun",2016,14,440,1,4,5,1,1,0,0,0,0,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,14,182,2016,1,4.09,-0.1134,1,0.20637,0.20637
"An, Byeong Hun",2016,14,440,1,4,5,1,1,0,0,0,0,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,14,182,2016,1,4.09,-0.1134,0,0.85023,0.85023
