name,modranks,prob,run
"Matsuyama, Hideki",5,0.0435,7
"McGirt, William",51,0.0029,7
"McIlroy, Rory",2,0.1211,7
"Mickelson, Phil",14,0.0153,7
"Molinari, Francesco",27,0.0084,7
"Moore, Ryan",34,0.0056,7
"Na, Kevin",53,0.0024,7
"Noren, Alex",67,0.0012,7
"O'Hair, Sean",48,0.0031,7
"Oosthuizen, Louis",21,0.0088,7
"Pampling, Rod",57,0.0018,7
"Perez, Pat",60,0.0017,7
"Piercy, Scott",38,0.0049,7
"Pieters, Thomas",41,0.0043,7
"Rahm, Jon",8,0.0275,7
"Reed, Patrick",33,0.0058,7
"Rose, Justin",6,0.0414,7
"Schwartzel, Charl",50,0.003,7
"Scott, Adam",16,0.0124,7
"Simpson, Webb",65,0.0015,7
"Singh, Vijay",78,3.00E-04,7
"Snedeker, Brandt",27,0.0084,7
"Spieth, Jordan",3,0.0539,7
"Steele, Brendan",41,0.0043,7
"Stenson, Henrik",18,0.0104,7
"Stricker, Steve",63,0.0016,7
"Stuard, Brian",76,4.00E-04,7
"Sullivan, Andy",44,0.0038,7
"Summerhays, Daniel",57,0.0018,7
"Swafford, Hudson",38,0.0049,7
"Tanihara, Hideto",70,7.00E-04,7
"Thomas, Justin",11,0.0208,7
"Vegas, Jhonattan",52,0.0027,7
"Walker, Jimmy",55,0.0023,7
"Wang, Jeunghun",72,6.00E-04,7
"Watson, Bubba",40,0.0045,7
"Westwood, Lee",56,0.0021,7
"Wiesberger, Bernd",41,0.0043,7
"Willett, Danny",70,7.00E-04,7
"Wood, Chris",63,0.0016,7
"Woodland, Gary",25,0.0085,7
"An, Byeong Hun",45,0.0036,8
"Berger, Daniel",29,0.0079,8
"Cabrera, Angel",31,0.0073,8
"Cabrera-Bello, Rafael",67,0.0012,8
"Casey, Paul",18,0.0106,8
"Castro, Roberto",70,6.00E-04,8
"Chappell, Kevin",78,2.00E-04,8
"Day, Jason",10,0.0227,8
"Dufner, Jason",38,0.0043,8
"Els, Ernie",74,5.00E-04,8
"Fisher, Ross",11,0.022,8
"Fitzpatrick, Matthew",45,0.0036,8
"Fleetwood, Tommy",9,0.026,8
"Fowler, Rickie",4,0.0487,8
"Furyk, Jim",54,0.002,8
"Garcia, Sergio",13,0.0159,8
"Grace, Branden",57,0.0017,8
"Grillo, Emiliano",45,0.0036,8
"Haas, Bill",23,0.0091,8
"Hadwin, Adam",30,0.0076,8
"Hahn, James",54,0.002,8
"Hatton, Tyrrell",7,0.0327,8
"Henley, Russell",16,0.0115,8
"Hoffman, Charley",33,0.0058,8
"Holmes, J.B.",27,0.0086,8
"Hughes, Mackenzie",69,8.00E-04,8
"Hurley III, Billy",70,6.00E-04,8
"Ikeda, Yuta",70,6.00E-04,8
"Johnson, Dustin",1,0.2337,8
"Johnson, Zach",53,0.0022,8
"Kaymer, Martin",35,0.0045,8
"Kim, Si Woo",80,0.00E+00,8
"Kisner, Kevin",22,0.0094,8
"Kjeldsen, Soren",65,0.0013,8
"Knox, Russell",67,0.0012,8
"Koepka, Brooks",48,0.0035,8
"Kuchar, Matt",28,0.008,8
"Leishman, Marc",15,0.0128,8
