name,year,hole,yardage,round,par,score,rtp_score,sg_total,no_masters,Level,Mu,Mu.no.bulps,P
"An, Byeong Hun",2016,4,240,2,3,4,1,0.212,2,3,0.00638,0.00612,0.00638
"An, Byeong Hun",2016,4,240,2,3,4,1,0.212,2,2,0.04892,0.04702,0.04892
"An, Byeong Hun",2016,4,240,2,3,4,1,0.212,2,1,0.37056,0.36093,0.37056
"An, Byeong Hun",2016,4,240,2,3,4,1,0.212,2,0,0.92842,0.92561,0.92842
"An, Byeong Hun",2016,4,240,2,3,4,1,0.212,2,-1,0.99817,0.99809,0.99817
"An, Byeong Hun",2016,5,455,2,4,3,-1,0.212,2,3,0.00324,0.0031,0.00324
"An, Byeong Hun",2016,5,455,2,4,3,-1,0.212,2,2,0.02534,0.02433,0.02534
"An, Byeong Hun",2016,5,455,2,4,3,-1,0.212,2,1,0.22931,0.22206,0.22931
"An, Byeong Hun",2016,5,455,2,4,3,-1,0.212,2,0,0.86764,0.86281,0.86764
"An, Byeong Hun",2016,5,455,2,4,3,-1,0.212,2,-1,0.99639,0.99623,0.99639
"An, Byeong Hun",2016,6,180,2,3,4,1,0.212,2,3,0.00413,0.00396,0.00413
"An, Byeong Hun",2016,6,180,2,3,4,1,0.212,2,2,0.03211,0.03084,0.03211
"An, Byeong Hun",2016,6,180,2,3,4,1,0.212,2,1,0.27521,0.26701,0.27521
"An, Byeong Hun",2016,6,180,2,3,4,1,0.212,2,0,0.89323,0.8892,0.89323
"An, Byeong Hun",2016,6,180,2,3,4,1,0.212,2,-1,0.99717,0.99705,0.99717
"An, Byeong Hun",2016,7,450,2,4,5,1,0.212,2,3,0.00561,0.00539,0.00561
"An, Byeong Hun",2016,7,450,2,4,5,1,0.212,2,2,0.04325,0.04157,0.04325
"An, Byeong Hun",2016,7,450,2,4,5,1,0.212,2,1,0.34099,0.33173,0.34099
"An, Byeong Hun",2016,7,450,2,4,5,1,0.212,2,0,0.91936,0.91622,0.91936
"An, Byeong Hun",2016,7,450,2,4,5,1,0.212,2,-1,0.99792,0.99783,0.99792
"An, Byeong Hun",2016,8,570,2,5,5,0,0.212,2,3,0.00111,0.00107,0.00111
"An, Byeong Hun",2016,8,570,2,5,5,0,0.212,2,2,0.00884,0.00848,0.00884
"An, Byeong Hun",2016,8,570,2,5,5,0,0.212,2,1,0.09259,0.08916,0.09259
"An, Byeong Hun",2016,8,570,2,5,5,0,0.212,2,0,0.69213,0.68321,0.69213
"An, Byeong Hun",2016,8,570,2,5,5,0,0.212,2,-1,0.98954,0.9891,0.98954
"An, Byeong Hun",2016,9,460,2,4,4,0,0.212,2,3,0.00479,0.00459,0.00479
"An, Byeong Hun",2016,9,460,2,4,4,0,0.212,2,2,0.03708,0.03563,0.03708
"An, Byeong Hun",2016,9,460,2,4,4,0,0.212,2,1,0.30592,0.29718,0.30592
"An, Byeong Hun",2016,9,460,2,4,4,0,0.212,2,0,0.90664,0.90307,0.90664
"An, Byeong Hun",2016,9,460,2,4,4,0,0.212,2,-1,0.99756,0.99745,0.99756
"An, Byeong Hun",2016,10,495,2,4,4,0,0.212,2,3,0.0039,0.00375,0.0039
"An, Byeong Hun",2016,10,495,2,4,4,0,0.212,2,2,0.03043,0.02923,0.03043
"An, Byeong Hun",2016,10,495,2,4,4,0,0.212,2,1,0.26426,0.25627,0.26426
"An, Byeong Hun",2016,10,495,2,4,4,0,0.212,2,0,0.88781,0.88361,0.88781
"An, Byeong Hun",2016,10,495,2,4,4,0,0.212,2,-1,0.997,0.99688,0.997
"An, Byeong Hun",2016,11,505,2,4,5,1,0.212,2,3,0.00683,0.00656,0.00683
"An, Byeong Hun",2016,11,505,2,4,5,1,0.212,2,2,0.05222,0.0502,0.05222
"An, Byeong Hun",2016,11,505,2,4,5,1,0.212,2,1,0.38674,0.37694,0.38674
"An, Byeong Hun",2016,11,505,2,4,5,1,0.212,2,0,0.93286,0.93021,0.93286
"An, Byeong Hun",2016,11,505,2,4,5,1,0.212,2,-1,0.99829,0.99822,0.99829
"An, Byeong Hun",2016,12,155,2,3,3,0,0.212,2,3,0.00436,0.00418,0.00436
"An, Byeong Hun",2016,12,155,2,3,3,0,0.212,2,2,0.03388,0.03255,0.03388
"An, Byeong Hun",2016,12,155,2,3,3,0,0.212,2,1,0.28641,0.278,0.28641
"An, Byeong Hun",2016,12,155,2,3,3,0,0.212,2,0,0.8984,0.89455,0.8984
"An, Byeong Hun",2016,12,155,2,3,3,0,0.212,2,-1,0.99732,0.99721,0.99732
"An, Byeong Hun",2016,13,510,2,5,4,-1,0.212,2,3,0.00071,0.00068,0.00071
"An, Byeong Hun",2016,13,510,2,5,4,-1,0.212,2,2,0.00565,0.00542,0.00565
"An, Byeong Hun",2016,13,510,2,5,4,-1,0.212,2,1,0.06109,0.05875,0.06109
"An, Byeong Hun",2016,13,510,2,5,4,-1,0.212,2,0,0.58908,0.579,0.58908
"An, Byeong Hun",2016,13,510,2,5,4,-1,0.212,2,-1,0.98369,0.98301,0.98369
"An, Byeong Hun",2016,14,440,2,4,4,0,0.212,2,3,0.00365,0.0035,0.00365
"An, Byeong Hun",2016,14,440,2,4,4,0,0.212,2,2,0.02846,0.02734,0.02846
"An, Byeong Hun",2016,14,440,2,4,4,0,0.212,2,1,0.25112,0.2434,0.25112
"An, Byeong Hun",2016,14,440,2,4,4,0,0.212,2,0,0.88078,0.87636,0.88078
"An, Byeong Hun",2016,14,440,2,4,4,0,0.212,2,-1,0.99679,0.99666,0.99679
"An, Byeong Hun",2016,15,530,2,5,4,-1,0.212,2,3,0.00097,0.00093,0.00097
"An, Byeong Hun",2016,15,530,2,5,4,-1,0.212,2,2,0.00773,0.00742,0.00773
"An, Byeong Hun",2016,15,530,2,5,4,-1,0.212,2,1,0.08185,0.07878,0.08185
"An, Byeong Hun",2016,15,530,2,5,4,-1,0.212,2,0,0.66263,0.65329,0.66263
"An, Byeong Hun",2016,15,530,2,5,4,-1,0.212,2,-1,0.98804,0.98754,0.98804
"An, Byeong Hun",2016,16,170,2,3,3,0,0.212,2,3,0.00311,0.00298,0.00311
"An, Byeong Hun",2016,16,170,2,3,3,0,0.212,2,2,0.02434,0.02337,0.02434
"An, Byeong Hun",2016,16,170,2,3,3,0,0.212,2,1,0.22212,0.21504,0.22212
"An, Byeong Hun",2016,16,170,2,3,3,0,0.212,2,0,0.86285,0.85787,0.86285
